player_id,name,minutes,most_played_position,position,passes_per_90,pass_accuracy,progressive_passes_per_90,progressive_pass_accuracy,long_passes_per_90,long_pass_accuracy,crosses_per_90,cross_accuracy,key_passes_per_90,assists_per_90,passes_received_per_90,shots_per_90,shots_on_target_per_90,shot_accuracy,goals_per_90,xg_per_90,first_time_shots_per_90,headers_per_90,shots_outside_box_per_90,dribbles_per_90,successful_dribbles_per_90,dribble_success_rate,progressive_runs_per_90,fouls_won_per_90,pressures_per_90,blocks_per_90,interceptions_per_90,dribbled_past_per_90,clearances_per_90,ball_recoveries_per_90,fouls_made_per_90,yellow_cards_per_90,red_cards_per_90,duels_per_90,duels_won_per_90,duel_success_rate,touches_per_90,average_position_x,average_position_y,shots_faced_per_90,saves_per_90,goals_conceded_per_90,smothers_per_90,collections_per_90,punches_per_90,sweeper_claims_per_90,sweeper_clears_per_90,save_percentage,smother_success_rate,collection_success_rate,punch_success_rate,sweeper_success_rate,role
24149,José Antonio García Rabasco,3369.15,Right Defensive Midfield,midfielder,36.3830639775611,77.01908957415566,11.913984239348204,60.0896860986547,7.319353546146654,43.79562043795621,0.9883798584212634,24.324324324324326,1.095231735007346,0.0801389074395619,27.674636035795377,0.6678242286630159,0.1869907840256444,0.28,0.0534259382930412,0.052103067549085,0.213703753172165,0.0,0.0267129691465206,0.5075464137838921,0.3472685989047682,68.42105263157895,0.9616668892747428,0.8548150126886603,11.994123146787764,0.8815279818351809,0.9082409509817015,0.7212501669560571,0.8281020435421397,3.33912114331508,1.1486576733003873,0.0,0.2404167223186857,1.816481901963403,0.3472685989047682,19.11764705882353,99.74622679310804,58.189582217461066,44.31456882699508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Deep Playmaker
23970,José María Martín-Bejarano Serrano,1114.45,Center Defensive Midfield,midfielder,33.75656153259455,77.03349282296651,9.12557763919422,54.86725663716814,4.603167481717438,52.63157894736842,0.2422719727219704,0.0,0.2422719727219704,0.0,24.307954596437703,1.049845215128539,0.3230292969626273,0.308,0.0,0.0458863443402575,0.2422719727219704,0.3230292969626273,0.0,0.7268159181659114,0.403786621203284,55.55555555555556,0.4845439454439409,1.4536318363318228,11.548297366413925,0.9690878908878818,1.3728745120911658,0.888330566647225,1.6151464848131365,4.522410157476782,1.857418457535107,0.0,0.1615146484813136,4.603167481717438,0.3230292969626273,7.017543859649122,98.60469289784196,55.77100737100743,40.94750204750203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Positional Midfielder
6712,Gonzalo Escalante,4109.87,Right Defensive Midfield,midfielder,28.3366627168256,72.95208655332303,9.503950246601477,53.686635944700456,3.109587407874215,45.77464788732394,0.3722745488300116,35.294117647058826,0.3065790402129508,0.0218985028723536,21.394837306289496,0.525564068936487,0.1094925143617681,0.208,0.0656955086170608,0.0576570396435896,0.2627820344682435,0.0875940114894145,0.0,1.3796056809582786,0.8321431091494379,60.31746031746032,0.7007520919153161,0.766447600532377,17.38741128064878,1.883271247022412,1.6204892125541686,1.3796056809582786,1.0949251436176817,4.598685603194262,2.3212413044694844,0.0,0.2846805373405972,4.40159907734308,0.9854326292559132,22.388059701492537,88.46995160430866,61.74601485148534,49.97900990099014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ball Winning Midfielder
6775,Daniel García Carrillo,4595.88,Left Defensive Midfield,midfielder,34.485234601425624,75.12776831345826,13.316274576359696,58.52941176470589,6.873547612209196,47.86324786324786,0.215410324029348,27.27272727272727,0.2741585942191702,0.0,24.22387007493668,0.3916551345988145,0.0783310269197629,0.2,0.0,0.025407784935638,0.2937413509491109,0.0,0.0587482701898221,0.5678999451682811,0.3524896211389331,62.06896551724138,0.7245619990078069,0.9791378364970365,10.946761012036868,1.3120447009060288,1.233713673986266,1.155382647066503,1.0574688634167997,4.366954750776783,1.2728791874461474,0.0,0.2741585942191702,2.8394997258414056,0.5091516749784589,17.93103448275862,95.0938666805922,56.49808484349275,36.62294069192765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Positional Midfielder
7154,Sebastián Carlos Cristóforo Pepe,2076.63,Left Defensive Midfield,midfielder,35.19163259704425,85.96059113300493,8.191155863105127,67.72486772486772,2.6437063896794326,49.18032786885246,0.1733577960445529,25.0,0.1300183470334147,0.0433394490111382,29.774201470651967,0.1300183470334147,0.0433394490111382,0.333,0.0,0.0048211313618699,0.0433394490111382,0.0,0.0,0.8234495312116265,0.6067522861559353,73.68421052631578,0.8234495312116265,2.383669695612603,19.1560364629231,1.863596307478944,1.3435229193452851,1.950275205501221,0.73677063318935,4.117247656058132,2.2969907975903263,0.0,0.1733577960445529,4.203926554080409,0.73677063318935,17.525773195876287,112.68256742895942,51.52276923076918,39.58726923076919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ball Winning Midfielder
3610,Roque Mesa Quevedo,3863.03,Right Defensive Midfield,midfielder,48.31958333225474,86.88524590163934,9.156025192659648,69.46564885496184,2.842328431309102,49.18032786885246,0.209679966244114,22.22222222222222,0.326168836379733,0.0465955480542475,44.6618328099963,0.7688265428950849,0.1630844181898665,0.212,0.0232977740271237,0.0419613436173159,0.1863821922169903,0.0232977740271237,0.0232977740271237,1.5609508598172936,0.9086131870578276,58.2089552238806,2.655946239092112,1.5143553117630462,11.229527081073666,0.8853154130307039,1.1648887013561893,1.1415909273290656,0.7222309948408374,5.544870218455461,1.1415909273290656,0.0,0.209679966244114,2.0269063403597696,0.3727643844339806,18.39080459770115,152.71690874779642,57.84352402746029,44.10494279176163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ball Winning Midfielder
15805,Hernán Daniel Santana Trujillo,1555.25,Center Defensive Midfield,midfielder,32.522102555859185,84.34163701067615,6.770615656646841,64.95726495726495,1.041633177945668,27.77777777777778,0.0578685098858704,0.0,0.0578685098858704,0.0,26.6195145475004,0.5208165889728339,0.2314740395434817,0.444,0.0578685098858704,0.0198192225880083,0.2314740395434817,0.2314740395434817,0.0,0.6944221186304453,0.3472110593152226,50.0,0.6944221186304453,0.9837646680597976,9.837646680597976,0.520816588972834,1.4467127471467611,0.9837646680597976,0.6365536087445749,3.87719016235332,1.2152387076032791,0.0,0.2314740395434817,2.199003375663077,0.3472110593152226,15.789473684210526,96.81401703906124,52.5704722056186,43.78696951583978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Anchor Man
3637,Grzegorz Krychowiak,3564.97,Left Defensive Midfield,midfielder,31.05215471658948,83.0081300813008,8.406802862296177,61.56156156156156,2.600302386836355,48.54368932038835,0.1514739254467779,50.0,0.1262282712056483,0.0,23.680423678179626,0.5554043933048526,0.0504913084822593,0.091,0.0,0.0470463001876593,0.1514739254467779,0.3029478508935559,0.0,0.4039304678580745,0.3029478508935559,75.0,0.8583522441984084,1.565230562950039,9.138926835288936,1.2117914035742237,1.8681784138435948,0.5301587390637228,2.120634956254891,3.408163322552504,1.3127740205387424,0.0,0.1514739254467779,2.7012850038008738,0.4291761220992042,15.887850467289718,92.14663798012326,50.357863013698605,39.0137808219178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Anchor Man
6929,José Vicente Gómez Umpiérrez,2390.82,Left Defensive Midfield,midfielder,39.07445980876854,87.47591522157995,6.625341932893317,72.1590909090909,1.5057595302030264,50.0,0.2635079177855296,28.57142857142857,0.2258639295304539,0.0376439882550756,35.197129018495744,0.2635079177855296,0.1129319647652269,0.429,0.0376439882550756,0.0101199191156172,0.0752879765101513,0.0752879765101513,0.0376439882550756,1.0540316711421185,0.6023038120812106,57.14285714285714,0.903455718121816,1.6939794714784049,9.37335307551384,0.8281677416116646,0.7528797651015132,0.9787436946319672,1.12931964765227,3.0491630486611285,1.091675659397194,0.0,0.1129319647652269,3.275026978191583,0.4140838708058323,12.643678160919542,118.54091901523326,54.88129564941257,33.96176563988576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Anchor Man
6736,Álvaro Medrán Just,2257.27,Right Defensive Midfield,midfielder,24.48089949363612,81.75895765472313,7.256553270100609,63.73626373626373,2.950466714216731,48.64864864864865,0.0797423436274792,0.0,0.2790982026961772,0.0398711718137396,24.122058947312464,1.2360063262259278,0.5183252335786149,0.419,0.0797423436274792,0.0710092092749206,0.4385828899511356,0.199355859068698,0.0,1.1961351544121883,0.6379387490198337,53.333333333333336,1.435362185294626,1.1562639825984486,12.080965059563102,0.717681092647313,1.03665046715723,0.8372946080885317,0.8771657799022714,4.226344212256398,1.435362185294626,0.0,0.2392270308824376,2.870724370589252,0.3987117181373961,13.88888888888889,87.07863924120731,61.36025641025647,40.32797619047615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Positional Midfielder
