player_id,name,minutes,most_played_position,position,passes_per_90,pass_accuracy,progressive_passes_per_90,progressive_pass_accuracy,long_passes_per_90,long_pass_accuracy,crosses_per_90,cross_accuracy,key_passes_per_90,assists_per_90,passes_received_per_90,shots_per_90,shots_on_target_per_90,shot_accuracy,goals_per_90,xg_per_90,first_time_shots_per_90,headers_per_90,shots_outside_box_per_90,dribbles_per_90,successful_dribbles_per_90,dribble_success_rate,progressive_runs_per_90,fouls_won_per_90,pressures_per_90,blocks_per_90,interceptions_per_90,dribbled_past_per_90,clearances_per_90,ball_recoveries_per_90,fouls_made_per_90,yellow_cards_per_90,red_cards_per_90,duels_per_90,duels_won_per_90,duel_success_rate,touches_per_90,average_position_x,average_position_y,shots_faced_per_90,saves_per_90,goals_conceded_per_90,smothers_per_90,collections_per_90,punches_per_90,sweeper_claims_per_90,sweeper_clears_per_90,save_percentage,smother_success_rate,collection_success_rate,punch_success_rate,sweeper_success_rate
7498,Mickaël Tacalfred,1798.03,Right Center Back,center back,29.882704960428914,82.24455611390285,10.861887732685217,61.75115207373272,5.756299950501382,47.82608695652174,0.15016434653481867,33.33333333333333,0.10010956435654578,0.0,21.723775465370434,0.20021912871309153,0.05005478217827288,0.25,0.0,0.010027853713786757,0.0,0.10010956435654576,0.05005478217827288,0.2502739108913644,0.15016434653481867,60.0,0.9009860792089119,0.4004382574261831,7.257943415849568,1.1512599901002765,1.1012052079220036,0.3503834752479102,2.60284867327019,2.702958237626736,0.9510408613871848,0.0,0.10010956435654578,2.8531225841615546,0.20021912871309155,7.017543859649122,83.79170536642881,43.13183990442054,58.11021505376343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7635,Gaëtan Charbonnier,1748.55,Center Attacking Midfield,midfielder,29.59595093077121,70.78260869565217,7.566269194475422,52.38095238095239,2.1103199794115124,36.58536585365854,0.6691258471304795,30.76923076923077,0.9264819421806639,0.05147121901003689,45.96379857596294,1.1323668182208115,0.46324097109033197,0.409,0.20588487604014757,0.09168577953847476,0.3602985330702582,0.051471219010036894,0.0,2.4191472934717337,1.0808955992107745,44.680851063829785,1.4411941322810327,1.1323668182208115,16.831088616282063,1.4411941322810327,0.6176546281204426,0.5661834091104058,0.36029853307025816,4.477996053873209,1.1838380372308484,0.0,0.15441365703011065,4.683880929913356,0.3088273140602213,6.593406593406594,124.14858025220896,72.68237976782761,41.91077943615248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5477,Ousmane Dembélé,2884.35,Right Wing,winger,22.40366113682459,67.40947075208913,5.11727078891258,46.34146341463415,2.8394612304332,34.065934065934066,1.6849550158614592,20.37037037037037,1.1233033439076396,0.1560143533205055,36.28893858234958,1.7473607571896614,0.8424775079307297,0.482,0.3744344479692132,0.2103175589723855,0.5616516719538198,0.062405741328202195,0.0,4.368401892974154,2.496229653128088,57.14285714285714,4.774039211607468,1.1857090852358418,11.3578449217328,0.9984918612512351,0.43684018929741536,0.49924593062561756,0.12481148265640439,3.182692807738312,0.1560143533205055,0.0,0.0,1.8721722398460658,0.21842009464870768,11.666666666666666,103.49992199282335,76.26159179981929,46.26943020801916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5667,Kamil Grosicki,2808.65,Right Wing,winger,20.89259964751749,63.80368098159509,4.293877841667705,47.01492537313433,2.8198600751250598,31.818181818181817,2.0187634628736224,20.634920634920633,0.7370088832713225,0.0961315934701725,28.903565770031864,1.6662809534829899,0.76905274776138,0.462,0.2883947804105175,0.1412030708251295,0.51270183184092,0.0320438644900575,0.0320438644900575,1.5701493600128174,0.76905274776138,48.97959183673469,3.396649635946095,0.2243070514304025,7.306001103733109,0.64087728980115,0.192263186940345,0.48065796735086247,0.448614102860805,2.05080732736368,0.5767895608210349,0.0,0.0320438644900575,1.345842308582415,0.0961315934701725,7.142857142857142,80.20579281861392,78.54802237315229,44.07455053935278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7369,Aly Ndom,609.45,Left Center Midfield,midfielder,26.433669702190496,79.88826815642457,6.4976618262367705,56.81818181818182,1.9197637213881367,30.76923076923077,0.0,0.0,0.7383706620723602,0.0,29.091804085650995,0.5906965296578882,0.14767413241447205,0.25,0.0,0.03504997834112724,0.14767413241447205,0.0,0.0,1.0337189269013043,1.0337189269013043,100.0,1.0337189269013043,0.5906965296578882,8.56509968003938,1.0337189269013043,0.5906965296578882,0.44302239724341613,1.1813930593157764,3.101156780703913,1.1813930593157764,0.0,0.0,2.2151119862170807,0.0,0.0,89.63819837558454,61.842339373970326,37.68336079077438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4602,Yoann Gourcuff,831.12,Left Wing,winger,42.23216863990759,86.92307692307692,11.045336413514294,75.49019607843137,2.490615073635576,69.56521739130434,0.32486283569159685,33.33333333333333,1.2994513427663874,0.0,46.022235056309555,1.0828761189719895,0.3248628356915969,0.3,0.21657522379439795,0.10028763738088362,0.21657522379439795,0.10828761189719897,0.0,0.9745885070747906,0.7580132832803926,77.77777777777779,3.0320531331215705,1.4077389546635863,11.37019924920589,1.0828761189719895,0.7580132832803926,0.6497256713831937,0.2165752237943979,5.306092982962749,0.6497256713831937,0.0,0.0,1.840889402252382,0.7580132832803926,41.17647058823529,144.4556742708634,68.17293853073463,28.71881559220396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3354,Benoît Guy Robert Costil,4411.87,Goalkeeper,goalkeeper,18.583956462905753,60.1536772777168,12.198908852708717,40.635451505016725,11.852117129471178,40.103270223752155,0.0,0.0,0.0,0.0,6.058655400091118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040799026263239856,0.06119853939485978,0.040799026263239856,0.020399513131619928,0.0,0.0,0.040799026263239856,2.81513281216355,0.0,0.0,0.0,0.0,0.0,0.0,44.491338140063064,9.071756075194873,41.73915635029805,7.813013529410432,1.8767552081090333,0.8975785777912768,0.0,0.7751814990015572,0.3875907495007786,0.4487892888956384,0.08159805252647971,24.02088772845953,0.0,94.73684210526315,68.42105263157895,100.0
4475,Romain Danzé,2491.53,Right Back,full back,37.31442125922626,76.96030977734753,12.67895630395781,62.10826210826211,4.226318767985936,33.33333333333333,0.8308148005442438,30.434782608695656,0.39734620895594275,0.10836714789707529,27.2001541221659,0.21673429579415057,0.14448953052943372,0.667,0.0,0.03634782534827997,0.03612238263235843,0.14448953052943372,0.0,0.5418357394853764,0.3612238263235843,66.66666666666666,0.8669371831766023,0.21673429579415057,8.05529132701593,1.7338743663532046,0.9391819484413192,0.9391819484413192,2.636933932162165,2.3118324884709396,0.5418357394853764,0.0,0.10836714789707529,2.3118324884709396,0.03612238263235843,1.5625,98.50573743844144,55.598826549321565,65.67202053538718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3022,Fallou Diagne,2909.87,Right Center Back,center back,29.166251413293377,79.95758218451749,10.361287617659896,59.40298507462687,5.629117451982391,45.604395604395606,0.09278765030740205,33.33333333333333,0.09278765030740205,0.0,20.629787585012387,0.5257966850752783,0.15464608384567008,0.294,0.15464608384567008,0.08456817687628655,0.12371686707653608,0.2165045173839381,0.09278765030740205,0.3402213844604742,0.2165045173839381,63.63636363636363,0.4330090347678762,0.3402213844604742,6.031197269981133,1.4846024049184328,0.9897349366122885,0.3711506012296082,3.3403554110664735,3.4022138446047414,1.0206641533814225,0.0,0.1855753006148041,2.165045173839381,0.2165045173839381,10.0,82.70472564066435,41.83421839940164,51.05968586387444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40699,Sylvain Armand,4722.8,Left Center Back,center back,33.19640890996866,82.37657864523537,12.177098331498263,62.441314553990615,6.803167612433302,46.21848739495798,0.11433895146946726,0.0,0.22867790293893453,0.019056491911577877,23.6872194460913,0.2667908867620903,0.07622596764631151,0.286,0.019056491911577877,0.04594258104514271,0.07622596764631151,0.07622596764631151,0.0,0.28584737867366816,0.2667908867620903,93.33333333333333,0.6669772169052257,0.3430168544084018,5.069026848479715,1.0671635470483611,1.0671635470483611,0.6860337088168036,3.106208181587194,3.7541289065808416,0.45735580587786906,0.0,0.07622596764631151,1.7722537477767426,0.20962141102735665,11.827956989247312,92.63360718218006,39.641740382637344,26.19123637111705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
